,00:00:00,00:15:00,00:30:00,00:45:00,01:00:00,01:15:00,01:30:00,01:45:00,02:00:00,02:15:00,02:30:00,02:45:00,03:00:00,03:15:00,03:30:00,03:45:00,04:00:00,04:15:00,04:30:00,04:45:00,05:00:00,05:15:00,05:30:00,05:45:00,06:00:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00
2020-08-01,0.00010062222058574359,0.00010035110637545585,0.00010037777324517568,0.00010068888465563456,0.00010034666707118352,0.00010042666147152583,0.00010068444535136223,0.00010029333333174388,0.00010039999460180601,0.00010050222277641297,0.00010055110479394595,0.000100408885627985,9.990666682521502e-05,9.98711089293162e-05,9.975999593734741e-05,0.00010007999837398529,9.984444205959638e-05,9.975110491116842e-05,9.947110588351885e-05,0.00010046666488051414,0.00010016444449623425,0.00010025777543584505,0.00010001777360836664,0.00010037777324517568,0.00010027110576629639,0.00010082666451732318,0.00010023555407921474,9.993777299920718e-05,0.00010097777470946312,9.998666743437449e-05,0.00010014221693078677,0.0001005022165675958,0.0001003022181491057,0.00010031999399264653,0.00010004444047808647,0.00010030666366219521,0.00010027999679247538,0.00010062222058574359,0.00010154221827785174,0.00010089332858721416,0.00010091555615266164,0.00010063999642928442,0.00010031110917528471,9.991999715566635e-05,9.994221851229668e-05,9.9964439868927e-05,9.995110953847567e-05,9.993777299920718e-05,9.935555358727773e-05,9.974666560689609e-05,9.95422216753165e-05,0.00010008444388707479,9.959555541475614e-05,9.978666280706723e-05,0.0001003155546883742,9.960444023211798e-05,9.938222045699755e-05,9.965332845846812e-05,0.00010021333272258441,0.00010008444388707479,9.968444084127744e-05,0.00010003999496499697,9.991110612948736e-05,9.98577723900477e-05,9.955999751885732e-05,9.979999934633573e-05,0.00010036888842781385,9.975110491116842e-05,9.941777214407921e-05,9.9537776162227e-05,9.997333089510599e-05,9.989777579903602e-05,9.944888452688853e-05,9.992444266875585e-05,9.950666377941767e-05,9.98755544424057e-05,0.00010020444169640541,9.981332967678706e-05,9.975110491116842e-05,9.979555383324623e-05,9.990222131212552e-05,9.986221790313721e-05,9.97777779897054e-05,9.999110673864682e-05,9.927555297811827e-05,9.984888757268588e-05,9.994221851229668e-05,0.00010031110917528471,9.999555225173632e-05,0.00010053332895040512,9.96711105108261e-05,9.994666402538617e-05,9.982666621605555e-05,0.00010049333175023396,0.00010031110917528471,0.00010043110698461533
2020-08-02,0.00010028888781865438,0.00010042666147152583,0.00010047111039360365,0.00010011555006106694,0.00010067999983827272,0.00010000444327791532,0.00010043110698461533,0.00010042222216725349,0.00010057333235939344,0.00010096888368328413,0.00010057777787248293,0.00010098666573564212,0.00010099111124873162,0.00010018666585286458,0.00010067110881209373,0.00010053777446349461,0.00010039555529753367,0.00010102666293581326,0.000100844440360864,0.00010144888733824094,0.00010035555188854536,9.991110612948736e-05,9.978666280706723e-05,0.00010114222144087155,9.984444205959638e-05,0.00010066666329900424,0.00010051555310686429,0.00010059110820293427,0.00010055111100276311,0.00010043110698461533,0.00010067999983827272,9.955555200576783e-05,0.00010044888903697332,9.986221790313721e-05,9.974222009380658e-05,9.972888355453809e-05,0.00010013777762651443,0.00010037777324517568,0.00010112443938851356,0.00010126666476329167,0.0001000711073478063,0.00010077333077788352,0.00010031999399264653,0.00010156888514757156,0.0001009466623266538,0.00010063555091619492,0.00010029332712292671,0.00010037777324517568,9.991555164257685e-05,9.979999934633573e-05,0.00010015999898314476,9.968888635436694e-05,0.00010010221973061562,0.0001006133295595646,0.00010019999618331591,9.982666621605555e-05,9.975555042425791e-05,0.00010021777823567391,0.00010010666524370511,9.971110771099726e-05,9.971110771099726e-05,9.96266615887483e-05,0.00010013333211342493,9.963999812801679e-05,9.966666499773661e-05,0.00010039999460180601,0.0001002088872094949,0.00010043555249770482,0.00010012888660033544,9.98577723900477e-05,0.00010070666670799256,0.00010026666646202406,9.967555602391561e-05,0.00010131110747655232,0.00010090221961339315,0.00010058666268984477,9.99688853820165e-05,0.0001007466639081637,0.00010080444316069285,0.00010088888928294181,0.00010024444510539373,0.00010033333053191503,0.00010026222094893456,0.00010059999922911326,0.000100835549334685,0.00010103555396199227,0.00010056444133321445,0.00010071110601226489,0.00010073777288198471,0.00010032443950573603,0.00010032443950573603,0.00010063111161192258,9.990666061639786e-05,0.00010047554969787598,0.00010025332992275556,0.00010071999703844388
2020-08-08,9.897777189811071e-05,9.894222021102905e-05,9.90799938639005e-05,9.913332760334015e-05,9.934221704800923e-05,9.91866613427798e-05,9.918222203850747e-05,9.923555577794711e-05,9.906221802035968e-05,9.90888848900795e-05,9.895999605456988e-05,9.94399997095267e-05,9.914221862951915e-05,9.931999569137892e-05,9.882221619288126e-05,9.919999788204828e-05,9.903110563755035e-05,9.928888330856959e-05,9.915999447305998e-05,9.966221948464711e-05,9.871110940972965e-05,9.905777871608734e-05,9.915110965569814e-05,9.966666499773661e-05,9.927110746502876e-05,9.94355541964372e-05,9.930221984783809e-05,9.957777336239815e-05,9.919555236895879e-05,9.872888525327046e-05,9.883999824523926e-05,9.911555175979932e-05,9.903555115063985e-05,9.884444375832875e-05,9.87955555319786e-05,9.89911084373792e-05,9.897333259383838e-05,9.979110832015674e-05,9.976888696352641e-05,0.00010004444047808647,9.940444181362788e-05,9.983110552032788e-05,9.974666560689609e-05,9.949777275323868e-05,9.970221668481827e-05,9.9093330403169e-05,9.938222045699755e-05,9.894666572411856e-05,9.907110904653867e-05,9.9093330403169e-05,9.882221619288126e-05,9.892888367176056e-05,9.922221923867861e-05,9.894222021102905e-05,9.879999483625094e-05,9.911110624670983e-05,9.934221704800923e-05,9.903555115063985e-05,9.921777372558911e-05,9.905777250727017e-05,9.913777311642965e-05,9.913333381215732e-05,9.915110965569814e-05,9.877777347962061e-05,9.88888864715894e-05,9.91866613427798e-05,9.896888708074888e-05,9.9093330403169e-05,9.90888848900795e-05,9.952000031868617e-05,9.950221826632817e-05,9.955555200576783e-05,9.963999812801679e-05,9.979999934633573e-05,9.914666414260864e-05,9.946222106615703e-05,9.917333101232846e-05,9.934666256109874e-05,9.951555480559667e-05,0.00010000444327791532,9.936444461345672e-05,9.978666280706723e-05,9.9093330403169e-05,9.951555480559667e-05,9.904444217681885e-05,9.924888610839843e-05,9.906221802035968e-05,9.944443901379903e-05,9.938666597008705e-05,9.931111087401708e-05,9.93333322306474e-05,9.948888793587685e-05,9.897333259383838e-05,9.905333320299784e-05,9.893332918485006e-05,9.941333283980687e-05
2020-08-09,9.968444084127744e-05,9.936091800530751e-05,9.907555455962817e-05,9.908000007271766e-05,9.9537776162227e-05,9.910222142934799e-05,9.908443937699001e-05,9.897333259383838e-05,9.917333101232846e-05,9.880888586242994e-05,9.93333322306474e-05,9.917333101232846e-05,9.877777347962061e-05,9.903555115063985e-05,9.941333283980687e-05,9.957332784930865e-05,9.895999605456988e-05,9.902222082018853e-05,9.91866613427798e-05,9.919999788204828e-05,9.924444059530894e-05,9.924444059530894e-05,9.887111062804857e-05,9.891110782821973e-05,9.922666475176812e-05,9.939110527435939e-05,9.934221704800923e-05,9.961333125829697e-05,9.920444339513779e-05,9.897777810692787e-05,9.89911084373792e-05,9.90888848900795e-05,9.865777567028999e-05,9.8222220937411e-05,9.851555029551188e-05,9.887999544541041e-05,9.935999910036723e-05,9.990666682521502e-05,9.99678112566471e-05,9.993333369493485e-05,0.00010016444449623425,9.977333247661591e-05,9.921332821249962e-05,9.932888671755791e-05,9.934666256109874e-05,9.978221729397773e-05,9.962222228447596e-05,9.89911084373792e-05,9.939999630053838e-05,9.997333089510599e-05,9.9537776162227e-05,9.947555139660835e-05,9.970221668481827e-05,9.901332979400952e-05,9.988443925976754e-05,9.961777677138646e-05,9.970221668481827e-05,9.958221887548765e-05,9.869333356618882e-05,9.923999508221944e-05,9.946222106615703e-05,9.891110782821973e-05,9.895999605456988e-05,9.903111184636752e-05,9.886666511495908e-05,9.874666730562846e-05,9.863110880057017e-05,9.907110904653867e-05,9.900888428092002e-05,9.89822174112002e-05,9.930752217769623e-05,9.95422216753165e-05,9.936444461345672e-05,9.94355541964372e-05,9.904888768990835e-05,9.928888330856959e-05,9.924444059530894e-05,9.979110832015674e-05,9.922666475176812e-05,9.935555358727773e-05,9.923111026485761e-05,9.912888829906781e-05,9.89999994635582e-05,9.922221923867861e-05,9.869333356618882e-05,9.883110721906027e-05,9.95422216753165e-05,9.929777433474859e-05,9.910222142934799e-05,9.922221923867861e-05,9.950666377941767e-05,9.868888805309932e-05,9.958666438857715e-05,9.884888306260108e-05,9.99688853820165e-05,9.925333162148794e-05
2020-08-16,9.965332845846812e-05,9.884888927141825e-05,9.974222009380658e-05,9.981332967678706e-05,9.961333125829697e-05,9.969333186745643e-05,9.980443865060806e-05,9.916443998614947e-05,9.935555358727773e-05,9.988443925976754e-05,9.952000031868617e-05,9.950221826632817e-05,9.961333125829697e-05,9.930221984783809e-05,9.893332918485006e-05,9.9528885136048e-05,9.897333259383838e-05,9.913332760334015e-05,9.911999727288882e-05,9.971110771099726e-05,9.927999849120776e-05,9.927110746502876e-05,9.923555577794711e-05,9.926222264766693e-05,9.966221948464711e-05,9.888444095849991e-05,9.929332882165908e-05,9.950221826632817e-05,9.916443998614947e-05,9.937930852174759e-05,9.926881641149521e-05,9.894666572411856e-05,9.840919325749079e-05,9.839999799927075e-05,9.880888586242994e-05,9.875555212299028e-05,9.84444407125314e-05,9.903110563755035e-05,9.878221899271012e-05,9.88215021789074e-05,9.901777530709903e-05,9.907110904653867e-05,9.902222082018853e-05,9.921777372558911e-05,9.924444059530894e-05,9.90888848900795e-05,9.954666097958882e-05,9.932444120446841e-05,9.938222045699755e-05,9.936444461345672e-05,9.983111172914505e-05,9.955555200576783e-05,0.00010022221753994624,0.0001001688838005066,9.966666499773661e-05,9.945333003997802e-05,9.981332967678706e-05,9.967999532818794e-05,9.970666219790777e-05,9.983999654650689e-05,9.927555297811827e-05,9.990222131212552e-05,9.960888574520747e-05,0.00010006666183471679,9.983110552032788e-05,9.979555383324623e-05,0.00010005777701735497,9.919555236895879e-05,9.94266631702582e-05,9.950221826632817e-05,9.94399997095267e-05,9.928444400429726e-05,9.959555541475614e-05,9.942221765716871e-05,9.947555139660835e-05,9.888444095849991e-05,9.910222142934799e-05,9.959999471902847e-05,9.906666353344918e-05,9.939555078744889e-05,9.929332882165908e-05,9.966221948464711e-05,9.937777494390806e-05,9.923555577794711e-05,9.95244396229585e-05,9.923111026485761e-05,9.927110746502876e-05,9.940888732671737e-05,9.871999422709147e-05,9.88888864715894e-05,9.947555139660835e-05,9.955110649267832e-05,9.932888671755791e-05,9.968444084127744e-05,9.964888294537863e-05,9.993332748611769e-05
2020-08-22,0.000100408885627985,0.00010032888501882554,0.00010069777568181356,0.00010026222094893456,0.00010027999679247538,9.99599943558375e-05,0.00010024444510539373,0.0001000711073478063,0.00010037777324517568,9.992888818184534e-05,9.980888416369756e-05,0.00010019111136595409,9.988888477285703e-05,0.00010022988542914391,0.00010001289968689283,0.00010020444169640541,9.992444266875585e-05,9.984827289978663e-05,9.99777764081955e-05,0.00010053777446349461,0.00010024888440966606,0.00010000444327791532,0.00010009777421752612,9.940444181362788e-05,0.00010019555067022642,9.971999873717627e-05,0.0001000711073478063,9.978666280706723e-05,9.944888452688853e-05,9.947555139660835e-05,9.978666280706723e-05,9.992888818184534e-05,0.00010004444047808647,9.993978465596835e-05,0.00010023110856612523,0.00010027110576629639,0.00010000888879100482,0.00010022666305303573,0.00010044444352388381,0.00010049333175023396,0.00010115999728441239,0.00010097332919637362,0.00010123999789357185,0.00010090666512648264,0.00010112000008424123,0.00010112000008424123,0.00010039110978444417,0.0001005199986199538,0.00010034666707118352,0.00010037777324517568,0.0001018355538447698,0.00010155110930403074,0.00010188444207111995,0.00010135999570290247,0.00010133777434627216,0.00010155110930403074,0.00010159110650420188,0.0001011866641541322,0.00010106222083171209,0.00010124888891975085,0.00010093333199620247,0.00010060888404647509,0.0001009422168135643,0.00010105332980553309,0.00010086666171749432,0.00010090666512648264,0.00010059555371602377,0.00010053777446349461,0.00010045332834124565,9.991110612948736e-05,9.998666122555733e-05,0.00010032443950573603,0.00010068888465563456,0.00010058221717675526,0.0001007600004474322,0.00010062222058574359,0.00010013333211342493,0.00010037777324517568,0.00010039999460180601,0.00010047111039360365,0.00010078222180406253,0.00010056888684630394,0.00010081777349114418,0.00010083555554350217,0.00010097332919637362,0.00010043999801079432,0.00010052444413304329,0.00010026666646202406,0.00010017777482668559,0.00010039110978444417,0.00010073332736889522,0.00010080888867378235,0.00010035110637545585,0.00010058221717675526,0.00010063999642928442,0.00010081777349114418
2020-08-23,0.00010023110856612523,0.00010001777360836664,0.0001004133311410745,0.0001000755528608958,0.00010011555006106694,9.973332906762759e-05,9.996363272269567e-05,9.990666061639786e-05,0.00010047999521096547,0.00010019555067022642,9.975999593734741e-05,0.00010039555529753367,0.00010015999898314476,0.00010029333333174388,0.00010015555347005526,0.00010030666366219521,0.00010089332858721416,0.00010056888684630394,0.00010039110978444417,0.00010063555091619492,0.00010049333175023396,0.00010047999521096547,0.00010042222216725349,0.00010043555249770482,0.000100853331387043,0.00010019111136595409,9.98755544424057e-05,9.966666499773661e-05,0.00010027110576629639,9.963999812801679e-05,9.992444266875585e-05,9.95244396229585e-05,9.9982221921285e-05,9.957777336239815e-05,9.98711089293162e-05,0.00010044444352388381,0.00010071999703844388,0.00010103999947508176,0.000100844440360864,0.00010080444316069285,0.00010087555274367333,0.00010110221803188323,0.00010058666268984477,0.00010047554969787598,0.00010069333016872406,0.00010036888842781385,0.00010017777482668559,0.00010027999679247538,0.00010048888623714447,0.00010024888440966606,0.00010020229344566662,9.99311792353789e-05,0.00010046666488051414,0.00010004888599117598,9.994942074020704e-05,9.982666621605555e-05,0.00010004888599117598,0.00010025777543584505,0.00010016444449623425,9.994221851229668e-05,0.00010034666707118352,9.984888757268588e-05,9.999555225173632e-05,9.983110552032788e-05,0.00010035110637545585,0.00010078666110833486,0.00010028444230556489,0.00010016189888119698,0.00010062222058574359,0.00010110666354497274,0.00010055111100276311,0.00010019999618331591,0.00010045332834124565,0.00010058221717675526,0.00010023110856612523,0.00010067999983827272,0.0001001644382874171,0.00010033777604500453,0.00010060689101616541,0.00010044888903697332,0.00010016444449623425,0.00010019111136595409,0.0001005720409254233,0.0001007511094212532,0.00010027110576629639,0.00010061777507265409,0.00010035999740163485,0.0001005066620806853,0.00010024444510539373,0.00010068443914254507,0.00010056888684630394,0.00010066666329900424,0.00010039999460180601,0.00010046221936742464,0.00010053777446349461,0.00010038221875826518
2020-08-29,0.00010083111003041268,0.00010091554994384448,0.00010079999764760336,0.00010021777202685674,0.00010013777762651443,0.0001005066620806853,0.00010079110662142435,0.00010056888684630394,0.0001007422183950742,0.00010067555432518323,0.00010039555529753367,0.00010025332992275556,0.00010064444194237391,0.0001003155546883742,0.0001007422183950742,0.00010080888867378235,0.00010047554969787598,0.0001004133311410745,0.00010123110686739286,0.00010071555152535439,0.00010083111003041268,0.00010064888745546341,0.00010099111124873162,0.00010102221742272377,0.00010063555091619492,0.00010114666695396105,0.00010114666695396105,0.00010137333224217097,0.00010036444291472435,0.00010048444072405497,0.00010027999679247538,0.00010048444072405497,0.00010055111100276311,0.00010072444255153338,0.0001004133311410745,0.00010116888831059138,0.0001018177717924118,0.00010171999533971151,0.00010211999838550886,0.00010179999594887097,0.00010115999728441239,0.00010036888842781385,0.00010010221973061562,9.98711089293162e-05,9.955555200576783e-05,9.98711089293162e-05,9.9982221921285e-05,9.88888864715894e-05,9.90977759162585e-05,9.875555212299028e-05,9.96521736184756e-05,9.980888416369756e-05,0.00010075555493434271,0.00010042666147152583,0.00010034222155809402,9.954666097958882e-05,9.935555358727773e-05,9.970666219790777e-05,9.949777275323868e-05,9.96311071018378e-05,9.904888768990835e-05,9.90977759162585e-05,9.979110832015674e-05,9.939555078744889e-05,9.918222203850747e-05,9.994221851229668e-05,9.929332882165908e-05,9.901777530709903e-05,9.934666256109874e-05,9.963999812801679e-05,9.969333186745643e-05,9.983555103341739e-05,9.976888696352641e-05,9.974666560689609e-05,9.993845596909524e-05,0.00010026666025320689,0.00010000888879100482,0.00010007816056410472,9.991110612948736e-05,9.976888696352641e-05,9.991555164257685e-05,0.00010033333053191503,9.941333283980687e-05,9.972444425026576e-05,9.961333125829697e-05,0.00010006666183471679,9.997333089510599e-05,0.00010000888879100482,0.00010001777360836664,0.00010034022852778435,0.0001002088872094949,9.972856690486273e-05,9.97644414504369e-05,0.00010015438000361125,9.98871773481369e-05,0.00010024444510539373
2020-08-30,0.00010011555006106694,9.99172404408455e-05,9.987526883681615e-05,0.00010023555407921474,0.00010007999837398529,0.00010006222253044446,9.942528481284778e-05,9.983110552032788e-05,9.961333125829697e-05,9.988888477285703e-05,9.935999910036723e-05,9.979555383324623e-05,9.921332821249962e-05,9.952777375777562e-05,9.964888294537863e-05,9.981777518987656e-05,9.973777458071708e-05,9.995110953847567e-05,0.0001000711073478063,9.974222009380658e-05,9.959554920593897e-05,9.955999751885732e-05,9.972444425026576e-05,9.938222045699755e-05,9.931999569137892e-05,9.976888696352641e-05,9.939555078744889e-05,9.972444425026576e-05,9.919110685586929e-05,9.980443865060806e-05,9.900888428092002e-05,9.915555516878763e-05,9.9519994109869e-05,9.887554993232092e-05,9.87955555319786e-05,9.926222264766693e-05,0.00010067555432518323,0.00010022795448700587,0.00010015999898314476,0.00010023999959230423,0.00010057777787248293,0.00010051110759377479,9.994666402538617e-05,0.00010029777263601621,9.984197095036507e-05,0.00010010666524370511,9.985333308577537e-05,9.999110673864682e-05,9.928444400429726e-05,9.945333003997802e-05,9.922133137782415e-05,9.945777555306752e-05,9.89999994635582e-05,9.934666256109874e-05,9.96311071018378e-05,9.914221862951915e-05,9.928888330856959e-05,9.952000031868617e-05,9.926666195193926e-05,9.963555261492729e-05,9.911999727288882e-05,9.959110990166664e-05,9.930666536092758e-05,9.933777153491973e-05,9.948888793587685e-05,9.937777494390806e-05,9.936444461345672e-05,9.964888294537863e-05,9.937777494390806e-05,9.919555236895879e-05,9.94355541964372e-05,9.975111111998558e-05,9.94444452226162e-05,9.968888635436694e-05,0.00010039999460180601,9.965332845846812e-05,0.00010004444047808647,9.97777779897054e-05,9.967555602391561e-05,9.958221887548765e-05,9.956444303194682e-05,9.971999873717627e-05,0.00010002666463454565,9.940888732671737e-05,9.992888818184534e-05,9.983999654650689e-05,0.00010009332870443661,9.97777779897054e-05,9.98799999554952e-05,9.974222009380658e-05,9.983999654650689e-05,9.977333247661591e-05,9.975555042425791e-05,9.932444120446841e-05,9.947110588351885e-05,9.946222106615703e-05
2020-09-05,0.00014794221768776576,0.00015176888555288315,0.00014955555399258932,0.0001523022229472796,0.00015420888861020405,0.00014051999896764756,0.00014840888480345408,0.0001440977801879247,0.00015195999294519423,0.00014123110721508663,0.0001453511044383049,0.00014784888674815495,0.00014415554702281952,0.00013832888255516687,0.00013930665949980417,0.00013455554842948915,0.00014630666623512904,0.00013738222420215607,0.00013318222016096116,0.0001376400018731753,0.00013389777392148973,0.0001293200006087621,0.0001280488818883896,0.00012893332789341608,0.00012972444295883178,0.0001248355582356453,0.00012662221988042196,0.00012733792265256247,0.0001274577776590983,0.00012574221938848495,0.0001239466667175293,0.00012251999229192733,0.00012254666537046433,0.00012418221682310106,0.00012285333126783372,0.00012265333284934362,0.00012502666562795638,0.00012332444389661154,0.00012659554680188496,0.00012888888518015543,0.00013232000172138213,0.00014912888407707216,0.00014221777518590292,0.0001350888858238856,0.0001370444397131602,0.00013415555159250895,0.00013281777501106262,0.00012856443723042806,0.0001351866622765859,0.0001288311059276263,0.0001378266637523969,0.00012562221537033716,0.00012795555094877878,0.00012575555592775345,0.00012596889088551205,0.00012548444171746573,0.00013121332973241805,0.0001298133283853531,0.00012643555800120036,0.00012695111334323883,0.00012829776853322982,0.0001280399908622106,0.00012747554729382196,0.00012706665943066278,0.00012624443819125492,0.00012610666453838348,0.00012566221257050833,0.00012484000374873478,0.00012681777278582255,0.00012896444648504256,0.000148468812306722,0.00015139110386371612,0.00015188444405794143,0.0001452533279856046,0.0001438844328125318,0.00014392444243033727,0.00014866221696138382,0.00015127554535865784,0.0001470266655087471,0.00015068444112936657,0.00015573332707087198,0.00015547110388676325,0.00015481777489185334,0.0001554444432258606,0.00015577332427104315,0.0001557377725839615,0.00015783555805683137,0.0001571822166442871,0.0001572933296362559,0.0001590666671593984,0.00015797777722279232,0.00015715998907883961,0.0001580799991885821,0.00015948444604873657,0.00015883999566237132,0.0001589644451936086
